#{"t_start": 1627392493.40241, "env_id": null}
r,l,t
1.993673,3,1853.317336
3.543922,3,1864.194207
3.446555,3,1874.995692
18.728512,3,1908.167647
2.536778,3,1918.244704
35.782185,3,1969.79767
0.99199,3,1977.421364
7.664298,3,1994.212392
28.279665,3,2037.065401
3.589441,3,2053.107475
9.990694,3,2075.060086
58.419284,3,2161.332977
3.671988,3,2174.298006
6.540492,3,2191.496341
13.876752,3,2215.527665
2.92259,3,2228.595018
12.92819,3,2252.369501
14.385452,3,2279.248317
2.891529,3,2290.130729
51.446423,3,2367.888907
2.468261,3,2377.435731
1.038098,3,2387.962235
2.904191,3,2405.316642
7.196409,3,2428.300704
15.545968,3,2462.027802
13.063855,3,2484.965648
25.331888,3,2536.932282
4.011513,3,2549.443528
0.860251,3,2558.276753
13.154187,3,2581.555551
3.939963,3,2594.040661
4.396806,3,2607.17683
22.559217,3,2643.440925
0.586279,3,2651.318119
1.65817,3,2661.046096
3.578129,3,2674.475117
5.81956,3,2687.511236
6.775409,3,2707.841857
1.709947,3,2721.367699
3.439702,3,2735.520866
0.750388,3,2743.952531
0.643514,3,2751.558393
4.62669,3,2765.295712
9.139083,3,2784.223762
18.050191,3,2813.435092
6.192199,3,2827.144441
15.146099,3,2854.411021
15.084805,3,2883.637582
3.411355,3,2897.12688
3.031063,3,2912.386185
4.290812,3,2924.858777
11.533733,3,2947.995356
0.698997,3,2955.979006
4.809444,3,2969.931687
0.03212,3,2976.654391
13.238842,3,3006.027489
9.706651,3,3026.99806
0.287858,3,3034.567474
24.78942,3,3081.005978
34.205589,3,3129.523603
11.269394,3,3151.117008
21.648284,3,3184.1876
7.031254,3,3200.631819
36.187957,3,3250.239347
15.270438,3,3276.700957
15.588976,3,3313.572968
2.114921,3,3335.011987
17.482023,3,3362.300435
1.377581,3,3381.814986
3.216311,3,3393.609921
3.938568,3,3404.083237
13.108156,3,3427.930269
26.400083,3,3469.435137
51.812294,3,3552.433524
12.504127,3,3575.791811
8.585326,3,3597.19997
41.480007,3,3666.328433
34.322107,3,3728.342062
5.859231,3,3741.254582
1.288208,3,3748.944588
10.954015,3,3779.055271
18.769012,3,3806.921103
8.419541,3,3827.397625
13.867826,3,3860.759524
2.84628,3,3879.375416
12.117472,3,3901.563028
10.607377,3,3924.456301
1.082575,3,3936.269381
5.410714,3,3949.909846
22.524993,3,3993.531929
8.727516,3,4010.566274
1.291794,3,4027.443857
21.767868,3,4062.459046
30.00153,3,4116.198289
45.454465,3,4192.74159
0.708836,3,4203.891874
19.253016,3,4233.975673
18.783071,3,4266.47314
0.545994,3,4273.396665
5.222156,3,4294.660624
14.729876,3,4328.256587
35.647717,3,4377.215591
10.321198,3,4396.83098
17.62649,3,4436.429925
16.633994,3,4467.213114
11.544594,3,4493.023163
